,animal,session,d',learning phase
0,AE_344,1,-0.04010198979727053,pre early
1,AE_344,2,-0.059415309061211175,pre early
2,AE_344,3,0.17095539916391767,pre early
3,AE_344,4,0.14081213433715423,pre early
4,AE_344,5,0.1305712063622046,pre early
5,AE_344,6,0.19842828505398769,pre early
6,AE_344,7,0.23459710909293743,pre early
7,AE_344,8,0.33946044732188585,pre early
8,AE_344,9,0.6787728233818756,pre late
9,AE_344,10,0.30505680625951537,pre late
10,AE_346,1,-0.17798513531530513,pre early
11,AE_346,2,0.110204566981702,pre early
12,AE_346,3,0.33711980303464406,pre late
13,AE_346,4,0.02272077087015756,pre late
14,AE_346,5,0.069548474156269,pre late
15,AE_346,6,0.3595724496388788,pre late
16,AE_346,7,0.006611000490629515,pre late
17,AE_346,8,0.10452490773951234,pre late
18,AE_346,9,0.32632848351765287,pre late
19,AE_346,10,0.2562218177859037,pre late
20,AE_367,1,-0.18022273215856047,pre early
21,AE_367,2,-0.25049016644908956,pre early
22,AE_367,3,0.3132304442400239,pre late
23,AE_367,4,0.3898698154157093,pre late
24,AE_367,5,-0.03271266387782068,pre late
25,AE_367,6,0.7509655441440435,pre late
26,AE_367,7,0.540656177868727,pre late
27,AE_367,8,0.8282844400495747,pre late
28,AE_367,9,0.8515663618743472,pre late
29,AE_367,10,0.43716620152438324,pre late
30,AE_350,1,-0.10135690921446971,pre early
31,AE_350,2,-0.03679321163107994,pre early
32,AE_350,3,0.06554038858509509,pre early
33,AE_350,4,0.41983118377243783,pre early
34,AE_350,5,0.2420826809742711,pre early
35,AE_350,6,0.45794918177547267,pre late
36,AE_350,7,0.5846572599819304,pre late
37,AE_350,8,0.8388013742472402,pre late
38,AE_350,9,1.5694502024359753,pre expert
39,AE_350,10,1.7203907945660097,pre expert
40,AE_351,1,0.16126724289495437,pre early
41,AE_351,2,-0.013260278340877396,pre early
42,AE_351,3,0.08724640096253955,pre early
43,AE_351,4,0.5432457004345724,pre early
44,AE_351,5,0.3610070823384606,pre early
45,AE_351,6,0.4845046982860044,pre early
46,AE_351,7,0.5753633002296774,pre early
47,AE_351,8,1.6093847642858519,pre expert
48,AE_351,9,2.3735091316585373,pre expert
49,AE_359,1,-0.016159199452460166,pre early
50,AE_359,2,0.3397326667386497,pre early
51,AE_359,3,0.3875129272100818,pre early
52,AE_359,4,0.9256929649365151,pre late
53,AE_359,5,0.7496931470188837,pre late
54,AE_359,6,0.909873468105633,pre late
55,AE_359,7,1.5489069403811917,pre expert
56,AE_359,8,1.9185581669952656,pre expert
